,narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
12978,P03_09_52,P03,P03_09,00:01:39.720,00:01:37.85,00:01:38.45,5871,5907,put bread,put,1,bread,33,['bread'],[33]
42274,P22_113_132,P22,P22_113,00:04:25.410,00:04:24.90,00:04:25.65,13244,13282,put down cheese,put-down,1,cheese,32,['cheese'],[32]
3627,P01_109_321,P01,P01_109,00:18:08.859,00:18:09.09,00:18:10.28,54454,54514,pick up potato slice with fork,pick-up,0,slice:potato,30,"['slice:potato', 'fork']","[30, 14]"
59904,P30_05_7,P30,P30_05,00:00:30.750,00:00:27.40,00:00:28.72,1644,1723,put box,put,1,box,23,['box'],[23]
48312,P24_07_3,P24,P24_07,00:00:09.550,00:00:10.32,00:00:11.16,619,669,grab pan,grab,0,pan,5,['pan'],[5]
53389,P27_07_78,P27,P27_07,00:14:21.550,00:14:40.83,00:14:41.68,52849,52900,pick up glass,pick-up,0,glass,10,['glass'],[10]
23310,P04_23_10,P04,P04_23,00:01:21.050,00:01:17.44,00:01:26.08,4646,5164,put away spices,put-away,1,spice,85,['spice'],[85]
7687,P02_104_88,P02,P02_104,00:04:28.153,00:04:28.19,00:04:29.26,13409,13463,put washing liquid on sponge,put,1,liquid:washing,22,"['liquid:washing', 'sponge']","[22, 9]"
65877,P35_108_283,P35,P35_108,00:18:15.100,00:18:14.49,00:18:17.70,54724,54885,rinse scissors,rinse,2,scissors,79,['scissors'],[79]
468,P01_02_94,P01,P01_02,00:05:11.120,00:05:10.05,00:05:19.15,18603,19149,rinse cutting board,rinse,2,board:cutting,18,['board:cutting'],[18]
4546,P01_17_233,P01,P01_17,00:15:37.500,00:15:37.27,00:15:38.15,56236,56289,take grater,take,0,grater,96,['grater'],[96]
5634,P02_02_43,P02,P02_02,00:01:36.119,00:01:34.38,00:01:35.80,5662,5748,pick up mug,pick-up,0,mug,13,['mug'],[13]
38818,P22_103_24,P22,P22_103,00:00:33.351,00:00:33.36,00:00:34.13,1668,1706,open cupboard,open,3,cupboard,3,['cupboard'],[3]
52718,P26_13_24,P26,P26_13,00:01:54.560,00:01:54.19,00:01:55.19,6851,6911,open door,open,3,door,3,['door'],[3]
7333,P02_101_74,P02,P02_101,00:03:01.903,00:03:01.67,00:03:02.38,9083,9119,put jam on bread,put-on,1,jam,115,"['jam', 'bread']","[115, 33]"
30124,P10_01_73,P10,P10_01,00:09:06.079,00:09:05.54,00:09:08.23,32732,32893,put it on desk,put-on,1,desk,42,['desk'],[42]
26563,P07_107_19,P07,P07_107,00:00:52.020,00:00:51.26,00:01:08.19,2563,3409,rinse coffee maker,rinse,2,maker:coffee,50,['maker:coffee'],[50]
2627,P01_105_470,P01,P01_105,00:18:59.856,00:18:59.59,00:19:02.94,56979,57147,wash mushroom,wash,2,mushroom,56,['mushroom'],[56]
51559,P26_106_9,P26,P26_106,00:00:32.360,00:00:30.63,00:00:33.06,1531,1653,put down salt,put-down,1,salt,38,['salt'],[38]
33466,P12_103_126,P12,P12_103,00:09:50.462,00:09:47.43,00:09:49.84,29371,29492,take paper from paper roll,take-from,0,paper,49,"['paper', 'roll:paper']","[49, 93]"
41727,P22_111_40,P22,P22_111,00:01:35.601,00:01:34.62,00:01:35.77,4731,4788,put down pan,put-down,1,pan,5,['pan'],[5]
39775,P22_107_50,P22,P22_107,00:01:37.851,00:01:37.06,00:01:37.94,4853,4897,open cupboard,open,3,cupboard,3,['cupboard'],[3]
35657,P20_02_95,P20,P20_02,00:05:57.060,00:05:47.00,00:05:59.13,20820,21547,still washing hands,wash,2,hand,11,['hand'],[11]
43032,P22_116_99,P22,P22_116,00:04:09.863,00:04:08.24,00:04:13.38,12412,12669,lather glass,lather,2,glass,10,['glass'],[10]
54063,P27_103_265,P27,P27_103,00:18:04.101,00:18:05.75,00:18:06.37,54287,54318,pick up sachet,pick-up,0,sachet,26,['sachet'],[26]
27560,P07_11_24,P07,P07_11,00:03:03.299,00:03:10.07,00:03:13.74,11404,11624,put rice on plate,put-on,1,rice,55,"['rice', 'plate']","[55, 2]"
28294,P08_06_45,P08,P08_06,00:02:30.810,00:02:30.54,00:02:32.04,9032,9122,place plate,place,1,plate,2,['plate'],[2]
47096,P23_102_489,P23,P23_102,00:47:16.611,00:47:14.64,00:47:17.35,141732,141867,take bowl,take,0,bowl,7,['bowl'],[7]
40053,P22_109_205,P22,P22_109,00:06:49.101,00:06:47.96,00:06:50.62,20398,20531,put down grids,put-down,1,grid,24,['grid'],[24]
857,P01_06_37,P01,P01_06,00:01:56.289,00:01:56.17,00:01:57.26,6970,7035,put down knife,put-down,1,knife,4,['knife'],[4]
48354,P24_07_68,P24,P24_07,00:04:26.720,00:04:30.73,00:04:32.13,16243,16327,open fridge,open,3,fridge,12,['fridge'],[12]
38217,P22_09_142,P22,P22_09,00:04:19.829,00:04:20.71,00:04:21.35,15642,15681,put down cleanser,put-down,1,cleanser,22,['cleanser'],[22]
66986,P37_101_93,P37,P37_101,00:04:12.155,00:04:11.28,00:04:14.08,12564,12704,take garlic,take,0,garlic,51,['garlic'],[51]
43430,P22_117_61,P22,P22_117,00:02:05.351,00:02:04.99,00:02:07.01,6249,6350,put down container,put-down,1,container,21,['container'],[21]
54920,P27_105_12,P27,P27_105,00:00:56.350,00:00:55.69,00:00:56.41,2784,2820,put down glass,put-down,1,glass,10,['glass'],[10]
60121,P30_06_86,P30,P30_06,00:03:37.920,00:03:34.12,00:03:37.93,12847,13075,wash plate,wash,2,plate,2,['plate'],[2]
11580,P02_130_39,P02,P02_130,00:01:25.656,00:01:25.69,00:01:26.49,4284,4324,pick up glass,pick-up,0,glass,10,['glass'],[10]
11241,P02_129_477,P02,P02_129,00:17:38.401,00:17:37.76,00:17:38.60,52888,52929,put down grater,put-down,1,grater,96,['grater'],[96]
43897,P22_12_45,P22,P22_12,00:02:58.480,00:02:56.90,00:02:58.01,10614,10680,open bin,open,3,bin,36,['bin'],[36]
30003,P09_106_0,P09,P09_106,00:00:03.880,00:00:01.85,00:00:06.45,92,322,take plate,take,0,plate,2,['plate'],[2]
57446,P28_112_27,P28,P28_112,00:01:12.665,00:01:12.68,00:01:13.46,3634,3673,take sock,take,0,sock,73,['sock'],[73]
20871,P04_113_431,P04,P04_113,00:13:51.103,00:13:48.72,00:13:52.79,41436,41639,pick up dustpan and brush,pick-up,0,dustpan,232,"['dustpan', 'brush']","[232, 103]"
2548,P01_105_4,P01,P01_105,00:00:06.351,00:00:05.76,00:00:07.17,288,358,open container,open,3,container,21,['container'],[21]
12135,P02_135_65,P02,P02_135,00:02:05.158,00:02:04.84,00:02:05.74,6242,6287,put down jar of jam,put-down,1,jar:jam,40,['jar:jam'],[40]
43532,P22_11_152,P22,P22_11,00:05:26.240,00:05:25.90,00:05:26.71,19554,19602,open lid,open,3,lid,6,['lid'],[6]
9131,P02_113_65,P02,P02_113,00:02:52.411,00:02:51.87,00:02:54.25,8593,8712,sponge pan,sponge,2,pan,5,['pan'],[5]
17561,P04_101_84,P04,P04_101,00:03:22.603,00:03:21.34,00:03:22.89,10067,10144,open dishwasher,open,3,dishwasher,70,['dishwasher'],[70]
45353,P22_17_144,P22,P22_17,00:06:42.110,00:06:37.07,00:06:38.79,23824,23927,pick up remains,pick-up,0,remains,54,['remains'],[54]
66449,P35_109_203,P35,P35_109,00:14:20.698,00:14:18.00,00:14:21.00,42900,43050,put down mug,put-down,1,mug,13,['mug'],[13]
40984,P22_10_308,P22,P22_10,00:10:53.230,00:10:43.41,00:10:54.43,38604,39265,lather glass,lather,2,glass,10,['glass'],[10]
27340,P07_115_31,P07,P07_115,00:01:26.116,00:01:26.39,00:01:27.55,4319,4377,grab lighter,grab,0,lighter,130,['lighter'],[130]
58440,P29_03_255,P29,P29_03,00:16:25.060,00:16:24.50,00:16:25.75,59070,59145,pick up fork,pick-up,0,fork,14,['fork'],[14]
20604,P04_113_191,P04,P04_113,00:05:55.100,00:05:54.38,00:05:55.43,17719,17771,open scissors,open,3,scissors,79,['scissors'],[79]
38744,P22_103_173,P22,P22_103,00:05:07.101,00:05:06.79,00:05:07.55,15339,15377,put down cutlery,put-down,1,cutlery,58,['cutlery'],[58]
49580,P25_104_151,P25,P25_104,00:07:52.101,00:07:51.54,00:07:52.69,23577,23634,open drawer,open,3,drawer,8,['drawer'],[8]
62000,P30_10_109,P30,P30_10,00:06:15.469,00:06:12.21,00:06:13.92,22332,22435,rinse plate,rinse,2,plate,2,['plate'],[2]
44568,P22_15_165,P22,P22_15,00:06:19.600,00:06:16.86,00:06:18.12,22611,22687,put saucer,put,1,saucer,2,['saucer'],[2]
49142,P25_09_92,P25,P25_09,00:11:59.089,00:11:58.86,00:11:59.73,43131,43183,take salt,take,0,salt,38,['salt'],[38]
64804,P35_104_717,P35,P35_104,00:50:00.943,00:50:00.28,00:50:04.90,150014,150245,pick up meat,pick-up,0,meat,28,['meat'],[28]
42251,P22_113_111,P22,P22_113,00:03:47.851,00:03:46.84,00:03:47.51,11342,11375,pick up spatula,pick-up,0,spatula,20,['spatula'],[20]
34635,P15_08_63,P15,P15_08,00:05:17.050,00:05:11.69,00:05:13.96,18701,18837,store plates,store,1,plate,2,['plate'],[2]
54456,P27_103_619,P27,P27_103,00:38:18.851,00:38:18.60,00:38:19.63,114930,114981,rinse hands,rinse,2,hand,11,['hand'],[11]
20733,P04_113_307,P04,P04_113,00:09:26.102,00:09:24.00,00:09:26.18,28200,28308,open food bin,open,3,bin:food,36,['bin:food'],[36]
8121,P02_108_251,P02,P02_108,00:13:59.404,00:13:58.44,00:13:59.44,41922,41972,pick up tongs,pick-up,0,tongs,142,['tongs'],[142]
3283,P01_107_38,P01,P01_107,00:01:15.600,00:01:15.16,00:01:16.51,3758,3825,rinse bottle,rinse,2,bottle,15,['bottle'],[15]
28253,P08_06_117,P08,P08_06,00:07:48.649,00:07:49.75,00:07:53.45,28185,28407,place knife,place,1,knife,4,['knife'],[4]
66702,P37_101_177,P37,P37_101,00:11:13.153,00:11:13.33,00:11:14.31,33666,33715,put cucumbers to bin,put-to,1,cucumber,72,"['cucumber', 'bin']","[72, 36]"
42597,P22_115_129,P22,P22_115,00:03:45.101,00:03:44.51,00:03:45.13,11225,11256,pick up cutlery,pick-up,0,cutlery,58,['cutlery'],[58]
10277,P02_123_238,P02,P02_123,00:13:08.157,00:13:08.03,00:13:08.53,39401,39426,pick up wooden spoon,pick-up,0,spoon:wooden,1,['spoon:wooden'],[1]
34227,P13_08_76,P13,P13_08,00:19:47.180,00:19:46.56,00:19:47.43,71193,71245,open drawer,open,3,drawer,8,['drawer'],[8]
36691,P22_05_397,P22,P22_05,00:16:21.529,00:16:19.63,00:16:20.95,58777,58857,open drawer,open,3,drawer,8,['drawer'],[8]
52137,P26_117_32,P26,P26_117,00:01:48.604,00:01:48.24,00:01:49.19,5412,5459,put down salt,put-down,1,salt,38,['salt'],[38]
30400,P10_04_186,P10,P10_04,00:20:23.660,00:20:27.49,00:20:33.41,73649,74004,wash the bowl,wash,2,bowl,7,['bowl'],[7]
49631,P25_104_198,P25,P25_104,00:09:41.602,00:09:40.32,00:09:41.68,29016,29083,pick up sponge,pick-up,0,sponge,9,['sponge'],[9]
37554,P22_07_560,P22,P22_07,00:27:10.190,00:27:09.41,00:27:10.57,97764,97834,pick up detergent,pick-up,0,detergent,22,['detergent'],[22]
39113,P22_104_144,P22,P22_104,00:07:39.351,00:07:37.30,00:07:39.11,22865,22955,pick up vinegar,pick-up,0,vinegar,134,['vinegar'],[134]
6681,P02_09_101,P02,P02_09,00:04:21.790,00:04:20.10,00:04:22.26,15606,15735,pick up kettle,pick-up,0,kettle,44,['kettle'],[44]
63422,P31_02_6,P31,P31_02,00:02:06.299,00:02:04.95,00:02:11.08,7497,7864,wash sink,wash,2,sink,63,['sink'],[63]
36644,P22_05_354,P22,P22_05,00:14:51.309,00:14:50.06,00:14:51.95,53403,53517,put down cloth,put-down,1,cloth,17,['cloth'],[17]
54699,P27_104_236,P27,P27_104,00:11:44.101,00:11:43.71,00:11:45.31,35185,35265,put down lid,put-down,1,lid,6,['lid'],[6]
2033,P01_103_18,P01,P01_103,00:00:36.850,00:00:36.69,00:00:37.53,1834,1876,take spatula,take,0,spatula,20,['spatula'],[20]
63292,P30_11_51,P30,P30_11,00:02:42.680,00:02:40.91,00:02:49.01,9654,10140,wash saucepan,wash,2,saucepan,5,['saucepan'],[5]
58966,P30_03_137,P30,P30_03,00:08:01.620,00:07:57.91,00:08:01.05,28674,28863,clean knife,clean,2,knife,4,['knife'],[4]
37317,P22_07_347,P22,P22_07,00:16:10.449,00:16:10.18,00:16:10.76,58210,58245,open basket,open,3,basket,168,['basket'],[168]
53185,P27_04_21,P27,P27_04,00:01:54.959,00:01:54.50,00:01:57.35,6870,7041,rinse silverware,rinse,2,silverware,58,['silverware'],[58]
1982,P01_102_62,P01,P01_102,00:02:36.850,00:02:36.53,00:02:37.47,7826,7873,rinse hands,rinse,2,hand,11,['hand'],[11]
55777,P28_06_116,P28,P28_06,00:09:14.160,00:09:30.05,00:09:32.52,34203,34351,put down paprika,put-down,1,paprika,206,['paprika'],[206]
56208,P28_101_52,P28,P28_101,00:04:29.904,00:04:29.77,00:04:30.96,13488,13547,open drawer,open,3,drawer,8,['drawer'],[8]
5474,P01_19_68,P01,P01_19,00:03:48.769,00:03:46.98,00:03:53.73,13618,14023,wash ladle,wash,2,ladle,97,['ladle'],[97]
23370,P04_23_65,P04,P04_23,00:09:24.150,00:09:59.46,00:10:05.83,35967,36349,put down shrimp paste,put-down,1,paste:shrimp,148,['paste:shrimp'],[148]
65307,P35_105_80,P35,P35_105,00:05:22.601,00:05:20.34,00:05:23.25,16016,16162,pick up meat,pick-up,0,meat,28,['meat'],[28]
50734,P26_02_10,P26,P26_02,00:00:42.700,00:00:41.65,00:00:42.82,2499,2569,open fridge,open,3,fridge,12,['fridge'],[12]
44704,P22_15_36,P22,P22_15,00:01:24.180,00:01:19.93,00:01:22.58,4795,4954,pick up pot,pick-up,0,pot,29,['pot'],[29]
49925,P25_106_225,P25,P25_106,00:19:03.101,00:19:00.87,00:19:01.54,57043,57077,pick up salt,pick-up,0,salt,38,['salt'],[38]
9022,P02_113_131,P02,P02_113,00:05:44.658,00:05:44.02,00:05:45.16,17201,17258,pick up spoon from sink,pick-up,0,spoon,1,"['spoon', 'sink']","[1, 63]"
18400,P04_107_379,P04,P04_107,00:11:35.853,00:11:34.81,00:11:37.08,34740,34854,pick up greaseproof paper,pick-up,0,paper:greaseproof,49,['paper:greaseproof'],[49]
4167,P01_109_808,P01,P01_109,00:57:26.850,00:57:26.30,00:57:28.15,172315,172407,pick up washing up liquid,pick-up,0,liquid:washing:up,22,['liquid:washing:up'],[22]
32367,P11_15_58,P11,P11_15,00:03:28.680,00:03:27.25,00:03:28.94,12435,12536,pick up leek,pick-up,0,leek,117,['leek'],[117]
33389,P12_101_57,P12,P12_101,00:02:45.741,00:02:42.48,00:02:50.49,8123,8524,open oil flask,open,3,flask:oil,15,['flask:oil'],[15]
8347,P02_108_5,P02,P02_108,00:00:10.659,00:00:08.70,00:00:11.47,434,573,pick up biscuits,pick-up,0,biscuit,104,['biscuit'],[104]
3419,P01_109_134,P01,P01_109,00:07:17.850,00:07:16.63,00:07:18.93,21831,21946,wipe hand,wipe,2,hand,11,['hand'],[11]
50475,P25_107_45,P25,P25_107,00:05:31.351,00:05:30.58,00:05:31.27,16529,16563,open cupboard,open,3,cupboard,3,['cupboard'],[3]
67167,P37_103_30,P37,P37_103,00:02:51.904,00:02:51.80,00:02:52.71,8590,8635,put chicken bones down,put-down,1,bone:chicken,57,['bone:chicken'],[57]
42219,P22_112_84,P22,P22_112,00:02:47.601,00:02:47.09,00:02:47.98,8354,8399,put down container,put-down,1,container,21,['container'],[21]
4223,P01_109_859,P01,P01_109,00:59:38.601,00:59:38.46,00:59:39.41,178923,178970,put down cloth,put-down,1,cloth,17,['cloth'],[17]
63442,P31_03_3,P31,P31_03,00:00:22.020,00:00:21.61,00:00:24.26,1296,1455,pick up dish,pick-up,0,dish,2,['dish'],[2]
49564,P25_104_137,P25,P25_104,00:07:02.601,00:07:01.76,00:07:02.44,21088,21122,pick up tissue,pick-up,0,tissue,88,['tissue'],[88]
50232,P25_107_230,P25,P25_107,00:19:47.354,00:19:46.02,00:19:47.32,59301,59366,pick up aubergine,pick-up,0,aubergine,67,['aubergine'],[67]
22241,P04_120_321,P04,P04_120,00:11:28.854,00:11:28.56,00:11:29.55,34428,34477,pick up tea towel,pick-up,0,towel:tea,52,['towel:tea'],[52]
28679,P08_21_133,P08,P08_21,00:08:08.620,00:08:10.40,00:08:11.15,29424,29469,open lid,open,3,lid,6,['lid'],[6]
25978,P06_113_92,P06,P06_113,00:03:38.151,00:03:37.97,00:03:39.44,10898,10972,pick up lid,pick-up,0,lid,6,['lid'],[6]
54581,P27_104_13,P27,P27_104,00:00:33.355,00:00:33.00,00:00:33.93,1650,1696,put down cutlery,put-down,1,cutlery,58,['cutlery'],[58]
2549,P01_105_40,P01,P01_105,00:00:49.101,00:00:49.06,00:00:49.73,2453,2486,open drawer,open,3,drawer,8,['drawer'],[8]
55191,P28_01_0,P28,P28_01,00:00:00.000,00:00:01.32,00:00:03.72,79,223,take oil,take,0,oil,31,['oil'],[31]
3313,P01_108_0,P01,P01_108,00:00:01.100,00:00:00.77,00:00:01.53,38,76,pick up cup,pick-up,0,cup,13,['cup'],[13]
23855,P05_08_26,P05,P05_08,00:01:30.000,00:01:29.43,00:01:30.67,5365,5440,take pasta pack,take,0,pack:pasta,26,['pack:pasta'],[26]
58235,P29_02_43,P29,P29_02,00:02:18.209,00:02:17.91,00:02:19.91,8274,8394,open drawer,open,3,drawer,8,['drawer'],[8]
51186,P26_103_90,P26,P26_103,00:05:17.358,00:05:16.89,00:05:18.71,15844,15935,rinse fork,rinse,2,fork,14,['fork'],[14]
11847,P02_131_33,P02,P02_131,00:03:01.905,00:03:01.24,00:03:02.79,9062,9139,put cylinder on foil paper,put-on,1,cylinder,175,"['cylinder', 'paper:foil']","[175, 49]"
35013,P19_01_33,P19,P19_01,00:04:14.810,00:04:11.00,00:04:14.77,15060,15286,take tomato,take,0,tomato,43,['tomato'],[43]
37706,P22_07_698,P22,P22_07,00:33:44.700,00:33:44.16,00:33:45.97,121449,121558,clean teaspoon,clean,2,teaspoon,1,['teaspoon'],[1]
46428,P23_101_203,P23,P23_101,00:20:54.353,00:20:53.88,00:20:55.25,62694,62762,put bottle,put,1,bottle,15,['bottle'],[15]
8948,P02_112_66,P02,P02_112,00:03:08.153,00:03:07.33,00:03:08.57,9366,9428,pick up lid,pick-up,0,lid,6,['lid'],[6]
32575,P12_02_11,P12,P12_02,00:01:05.970,00:01:09.70,00:01:13.64,4182,4418,take minced meats,take,0,meat:minced,28,['meat:minced'],[28]
51999,P26_115_58,P26,P26_115,00:02:58.882,00:02:58.31,00:03:00.19,8915,9009,put down cutlery,put-down,1,cutlery,58,['cutlery'],[58]
27150,P07_113_143,P07,P07_113,00:07:11.301,00:07:10.67,00:07:11.69,21533,21584,rinse spoon,rinse,2,spoon,1,['spoon'],[1]
5737,P02_03_145,P02,P02_03,00:08:44.670,00:08:43.49,00:08:44.41,31409,31464,get salt,get,0,salt,38,['salt'],[38]
10289,P02_123_249,P02,P02_123,00:13:26.405,00:13:26.30,00:13:26.64,40315,40332,pick up plate,pick-up,0,plate,2,['plate'],[2]
6153,P02_04_43,P02,P02_04,00:01:51.759,00:01:51.02,00:01:51.89,6661,6713,pick up mug,pick-up,0,mug,13,['mug'],[13]
4787,P01_18_192,P01,P01_18,00:16:11.350,00:16:06.66,00:16:19.75,57999,58785,open stock,open,3,stock,95,['stock'],[95]
39752,P22_107_3,P22,P22_107,00:00:12.601,00:00:11.00,00:00:13.86,550,693,open bag,open,3,bag,19,['bag'],[19]
19207,P04_109_168,P04,P04_109,00:05:53.353,00:05:52.60,00:05:54.33,17630,17716,wipe pieces of cucumber off knife and into measuring jug,wipe,2,piece:cucumber,72,"['piece:cucumber', 'knife', 'jug:measuring']","[72, 4, 66]"
11228,P02_129_465,P02,P02_129,00:17:10.904,00:17:10.86,00:17:11.67,51542,51583,open drawer,open,3,drawer,8,['drawer'],[8]
2476,P01_105_334,P01,P01_105,00:13:00.351,00:13:00.51,00:13:01.96,39025,39098,pick up bowl,pick-up,0,bowl,7,['bowl'],[7]
19530,P04_109_460,P04,P04_109,00:14:18.353,00:14:18.03,00:14:18.71,42901,42935,put down ramekin,put-down,1,ramekin,7,['ramekin'],[7]
60610,P30_104_67,P30,P30_104,00:01:50.35,00:01:49.44,00:01:50.98,5472,5548,pick up kettle,pick-up,0,kettle,44,['kettle'],[44]
47769,P24_04_85,P24,P24_04,00:05:57.140,00:05:55.72,00:05:56.82,21343,21409,open door,open,3,door,3,['door'],[3]
43855,P22_12_267,P22,P22_12,00:10:39.520,00:10:37.84,00:10:38.34,38270,38300,place cup,place,1,cup,13,['cup'],[13]
57085,P28_109_30,P28,P28_109,00:01:38.655,00:01:38.44,00:01:39.39,4922,4969,put spoon,put,1,spoon,1,['spoon'],[1]
29111,P08_23_184,P08,P08_23,00:17:13.800,00:17:14.76,00:17:16.08,62085,62164,place garlic,place,1,garlic,51,['garlic'],[51]
56168,P28_101_16,P28,P28_101,00:00:57.665,00:00:57.96,00:00:59.30,2898,2965,put chopping board,put,1,board:chopping,18,['board:chopping'],[18]
3847,P01_109_52,P01,P01_109,00:01:38.100,00:01:38.09,00:01:38.84,4904,4942,open drawer,open,3,drawer,8,['drawer'],[8]
41987,P22_111_634,P22,P22_111,00:23:27.101,00:23:25.76,00:23:26.45,70288,70322,pick up degreaser,pick-up,0,degreaser,22,['degreaser'],[22]
63748,P31_13_59,P31,P31_13,00:10:16.870,00:10:17.99,00:10:19.09,37079,37145,put down bread,put-down,1,bread,33,['bread'],[33]
18789,P04_107_729,P04,P04_107,00:19:41.355,00:19:40.84,00:19:42.20,59041,59110,pick up dough,pick-up,0,dough,25,['dough'],[25]
38507,P22_101_85,P22,P22_101,00:02:46.862,00:02:46.39,00:02:47.33,8319,8366,open drawer,open,3,drawer,8,['drawer'],[8]
49967,P25_106_263,P25,P25_106,00:22:41.101,00:22:40.47,00:22:41.81,68023,68090,pick up package,pick-up,0,package,26,['package'],[26]
55257,P28_01_69,P28,P28_01,00:04:05.040,00:04:03.44,00:04:04.50,14606,14670,take knife,take,0,knife,4,['knife'],[4]
8823,P02_112_239,P02,P02_112,00:16:13.654,00:16:13.53,00:16:16.42,48676,48821,place meat on dough,place-on,1,meat,28,"['meat', 'dough']","[28, 25]"
865,P01_06_44,P01,P01_06,00:02:07.739,00:02:05.08,00:02:07.32,7504,7639,rinse plate,rinse,2,plate,2,['plate'],[2]
36807,P22_05_59,P22,P22_05,00:02:20.510,00:02:20.18,00:02:20.77,8410,8446,pick up glass,pick-up,0,glass,10,['glass'],[10]
63696,P31_13_11,P31,P31_13,00:01:31.359,00:01:32.44,00:01:44.93,5546,6295,wash salad,wash,2,salad,68,['salad'],[68]
25651,P06_107_51,P06,P06_107,00:04:13.152,00:04:11.83,00:04:13.29,12591,12664,put down knife,put-down,1,knife,4,['knife'],[4]
14217,P03_112_27,P03,P03_112,00:00:49.100,00:00:48.79,00:00:49.96,2439,2498,place pan,place,1,pan,5,['pan'],[5]
5603,P02_02_15,P02,P02_02,00:00:46.140,00:00:45.41,00:00:46.34,2724,2780,pick up sponge,pick-up,0,sponge,9,['sponge'],[9]
4106,P01_109_753,P01,P01_109,00:54:25.358,00:54:24.43,00:54:25.72,163221,163286,pick up cloth,pick-up,0,cloth,17,['cloth'],[17]
33256,P12_101_388,P12,P12_101,00:25:22.423,00:25:22.40,00:25:24.63,76120,76231,wash hands,wash,2,hand,11,['hand'],[11]
8295,P02_108_408,P02,P02_108,00:19:37.907,00:19:38.46,00:19:41.00,58923,59050,rinse bowl,rinse,2,bowl,7,['bowl'],[7]
45785,P22_17_538,P22,P22_17,00:20:31.940,00:20:29.65,00:20:36.40,73779,74184,wash sink,wash,2,sink,63,['sink'],[63]
20261,P04_112_113,P04,P04_112,00:03:14.103,00:03:13.92,00:03:14.77,9696,9738,open fridge,open,3,fridge,12,['fridge'],[12]
2769,P01_105_599,P01,P01_105,00:24:18.101,00:24:17.80,00:24:18.25,72890,72912,put down spatula,put-down,1,spatula,20,['spatula'],[20]
58228,P29_02_37,P29,P29_02,00:02:05.659,00:02:04.02,00:02:05.73,7441,7543,put oven glove down,put-down,1,glove:oven,60,['glove:oven'],[60]
61421,P30_107_797,P30,P30_107,00:42:35.85,00:42:35.52,00:42:36.30,127776,127815,wipe surface,wipe,2,surface,42,['surface'],[42]
22056,P04_120_155,P04,P04_120,00:07:17.351,00:07:16.84,00:07:18.50,21842,21925,pick up tea towel from floor,pick-up,0,towel:tea,52,"['towel:tea', 'floor']","[52, 159]"
10979,P02_129_24,P02,P02_129,00:00:46.405,00:00:46.09,00:00:47.02,2304,2351,put down spaghetti bag,put-down,1,bag:spaghetti,19,['bag:spaghetti'],[19]
49931,P25_106_230,P25,P25_106,00:19:24.101,00:19:23.66,00:19:24.86,58183,58242,put down spoon,put-down,1,spoon,1,['spoon'],[1]
9093,P02_113_30,P02,P02_113,00:01:17.672,00:01:13.70,00:01:20.67,3685,4033,put pine nuts on meat,put-on,1,nut:pine,133,"['nut:pine', 'meat']","[133, 28]"
15565,P03_19_106,P03,P03_19,00:05:01.910,00:05:02.83,00:05:03.95,18169,18237,put knives,put,1,knife,4,['knife'],[4]
8851,P02_112_264,P02,P02_112,00:17:18.409,00:17:18.44,00:17:19.23,51922,51961,pick up meat from pan,pick-up,0,meat,28,"['meat', 'pan']","[28, 5]"
40500,P22_109_608,P22,P22_109,00:25:29.851,00:25:29.33,00:25:32.53,76466,76626,clean griddle,clean,2,griddle,24,['griddle'],[24]
568,P01_05_116,P01,P01_05,00:06:53.699,00:06:52.98,00:06:54.15,24778,24849,put down salt,put-down,1,salt,38,['salt'],[38]
28126,P08_05_338,P08,P08_05,00:27:15.799,00:27:16.18,00:27:17.50,98170,98250,open top,open,3,top,42,['top'],[42]
3732,P01_109_416,P01,P01_109,00:24:10.850,00:24:10.64,00:24:11.39,72532,72569,pick up eggs box,pick-up,0,box:egg,23,['box:egg'],[23]
12345,P03_04_108,P03,P03_04,00:07:27.180,00:07:24.35,00:07:24.97,26661,26698,take chicken,take,0,chicken,57,['chicken'],[57]
64791,P35_104_705,P35,P35_104,00:49:16.861,00:49:14.56,00:49:17.88,147728,147894,pick up meat,pick-up,0,meat,28,['meat'],[28]
31376,P11_05_369,P11,P11_05,00:26:53.950,00:26:53.25,00:26:55.25,96795,96915,pick up tissue,pick-up,0,tissue,88,['tissue'],[88]
41179,P22_10_99,P22,P22_10,00:03:21.329,00:03:16.44,00:03:17.38,11786,11842,put down down teaspoon,put-down,1,teaspoon,1,['teaspoon'],[1]
46592,P23_101_351,P23,P23_101,00:28:58.101,00:28:57.85,00:28:58.79,86892,86939,take plate,take,0,plate,2,['plate'],[2]
8767,P02_112_189,P02,P02_112,00:13:00.924,00:13:00.43,00:13:00.95,39021,39047,get some oil from plate,get,0,oil,31,"['oil', 'plate']","[31, 2]"
59344,P30_05_191,P30,P30_05,00:15:27.020,00:15:14.50,00:15:22.36,54870,55341,take parsley from drawer,take-from,0,drawer,8,['drawer'],[8]
38512,P22_101_9,P22,P22_101,00:00:17.870,00:00:17.20,00:00:18.07,860,903,pick up jar,pick-up,0,jar,40,['jar'],[40]
17680,P04_104_0,P04,P04_104,00:00:04.354,00:00:04.09,00:00:04.63,204,231,open drawer,open,3,drawer,8,['drawer'],[8]
